2025-12-17 16:09:49 | INFO     | __main__:run:281 - ============================================================
2025-12-17 16:09:49 | INFO     | __main__:run:282 - 🚀 HAWH媒体爬虫启动
2025-12-17 16:09:49 | INFO     | __main__:run:283 - ============================================================
2025-12-17 16:09:49 | INFO     | __main__:scrape_categories:133 - 开始爬取栏目信息...
2025-12-17 16:09:52 | INFO     | __main__:scrape_categories:140 - 发现 13 个栏目
2025-12-17 16:09:52 | ERROR    | __main__:run:322 - 爬取过程出错: 'str' object has no attribute 'get'
2025-12-17 16:10:45 | INFO     | __main__:run:281 - ============================================================
2025-12-17 16:10:45 | INFO     | __main__:run:282 - 🚀 HAWH媒体爬虫启动
2025-12-17 16:10:45 | INFO     | __main__:run:283 - ============================================================
2025-12-17 16:10:45 | INFO     | __main__:scrape_categories:133 - 开始爬取栏目信息...
2025-12-17 16:10:48 | INFO     | __main__:scrape_categories:140 - 发现 13 个栏目
2025-12-17 16:10:48 | ERROR    | __main__:run:322 - 爬取过程出错: 'str' object has no attribute 'get'
2025-12-17 16:11:05 | INFO     | __main__:run:276 - ============================================================
2025-12-17 16:11:05 | INFO     | __main__:run:277 - 🚀 HAWH媒体爬虫启动
2025-12-17 16:11:05 | INFO     | __main__:run:278 - ============================================================
2025-12-17 16:11:05 | INFO     | __main__:scrape_categories:133 - 开始爬取栏目信息...
2025-12-17 16:11:08 | INFO     | __main__:scrape_categories:140 - 发现 13 个栏目
2025-12-17 16:11:08 | INFO     | __main__:run:288 - ============================================================
2025-12-17 16:11:08 | INFO     | __main__:run:289 - 📺 开始爬取 13 个栏目的节目
2025-12-17 16:11:08 | INFO     | __main__:run:290 - ============================================================
2025-12-17 16:11:13 | INFO     | __main__:run:293 - [1/13]
2025-12-17 16:11:16 | INFO     | __main__:scrape_programs_for_category:193 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/classic/foreign/index.html
2025-12-17 16:11:18 | ERROR    | __main__:extract_programs_from_html:186 - 解析 HTML 提取节目时出错: name 'BeautifulSoup' is not defined
2025-12-17 16:11:18 | INFO     | __main__:scrape_programs_for_category:208 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:11:18 | ERROR    | __main__:scrape_programs_for_category:255 - 爬取栏目主入口失败: name 'BeautifulSoup' is not defined
2025-12-17 16:11:18 | INFO     | __main__:scrape_programs_for_category:257 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:12:17 | INFO     | __main__:run:277 - ============================================================
2025-12-17 16:12:17 | INFO     | __main__:run:278 - 🚀 HAWH媒体爬虫启动
2025-12-17 16:12:17 | INFO     | __main__:run:279 - ============================================================
2025-12-17 16:12:17 | INFO     | __main__:scrape_categories:134 - 开始爬取栏目信息...
2025-12-17 16:12:19 | INFO     | __main__:scrape_categories:141 - 发现 13 个栏目
2025-12-17 16:12:19 | INFO     | __main__:run:289 - ============================================================
2025-12-17 16:12:19 | INFO     | __main__:run:290 - 📺 开始爬取 13 个栏目的节目
2025-12-17 16:12:19 | INFO     | __main__:run:291 - ============================================================
2025-12-17 16:12:23 | INFO     | __main__:run:294 - [1/13]
2025-12-17 16:12:23 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/art/heritage/index.html
2025-12-17 16:12:26 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:12:26 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:12:26 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 3
2025-12-17 16:12:26 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/3 页: http://www.hawh.cn/hawh/audioVisual/art/heritage/index.html?pageIndex=2
2025-12-17 16:12:29 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:12:29 | INFO     | __main__:scrape_programs_for_category:246 - 第 2 页抓取完成，新增 0 个节目
2025-12-17 16:12:29 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 3/3 页: http://www.hawh.cn/hawh/audioVisual/art/heritage/index.html?pageIndex=3
2025-12-17 16:12:31 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:12:31 | INFO     | __main__:scrape_programs_for_category:246 - 第 3 页抓取完成，新增 0 个节目
2025-12-17 16:12:31 | INFO     | __main__:scrape_programs_for_category:258 - 栏目爬取结束，总共发现 0 个节目
2025-12-17 16:12:31 | INFO     | __main__:run:294 - [2/13]
2025-12-17 16:12:31 | INFO     | __main__:scrape_programs_for_category:194 - 开始爬取栏目: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html
2025-12-17 16:12:33 | ERROR    | __main__:extract_programs_from_html:187 - 解析 HTML 提取节目时出错: name 'urljoin' is not defined
2025-12-17 16:12:33 | INFO     | __main__:scrape_programs_for_category:209 - 第 1 页抓取完成，找到 0 个节目
2025-12-17 16:12:33 | INFO     | __main__:scrape_programs_for_category:221 - 检测到分页组件，最大页数为: 5
2025-12-17 16:12:33 | INFO     | __main__:scrape_programs_for_category:236 - 正在爬取第 2/5 页: http://www.hawh.cn/hawh/audioVisual/art/drama/index.html?pageIndex=2
